network_id node_id idk1 idk2
1 137492 31 0
2 679641 45 0
3 25794 66 0
4 393939 60 0
5 1108798 24 0
6 1129546 66 0
7 257009 24 0
8 1107366 37 0
9 7948 33 0
10 1028061 60 0
11 22783 60 0
12 1111822 65 0
13 182082 47 0
14 1132268 20 0
15 42677 17 0
16 68861 58 0
17 1129577 64 0
18 504220 63 0
19 800987 30 0
20 1140530 70 0
21 362006 8 0
22 162897 25 0
23 694422 9 0
24 1124030 27 0
25 1113838 60 0
26 299596 14 0
27 1129408 14 0
28 34657 23 0
29 23624 4 0
30 13873 4 0
31 1154313 59 0
32 82386 42 0
33 1134955 22 0
34 132123 14 0
35 1105757 15 0
36 7387 64 0
37 18950 24 0
38 30021 56 0
39 790616 55 0
40 191906 55 0
41 116790 9 0
42 662017 61 0
43 1117955 8 0
44 797396 18 0
45 72144 4 0
46 1341 62 0
47 13050 65 0
48 1106985 8 0
49 1014596 15 0
50 1130600 10 0
51 7107 62 0
52 167384 18 0
53 1104447 7 0
54 613346 60 0
55 1129444 1 0
56 766281 24 0
57 18432 67 0
58 755969 18 0
59 1135063 5 0
60 10770 29 0
61 134351 58 0
62 99361 42 0
63 1107140 12 0
64 1152610 19 0
65 765990 31 0
66 305539 20 0
67 1119163 48 0
68 23795 14 0
69 1115705 14 0
70 1131985 20 0
71 891943 17 0
72 1110254 4 0
73 860138 46 0
74 65653 12 0
75 79217 14 0
76 270171 28 0
77 190807 1 0
78 930204 20 0
79 1152832 47 0
80 4506 62 0
81 599 68 0
82 1137117 58 0
83 66347 15 0
84 1118330 13 0
85 38323 55 0
86 1106952 15 0
87 1139756 30 0
88 74832 37 0
89 228992 8 0
90 59419 24 0
91 1108157 52 0
92 175576 12 0
93 1136328 18 0
94 1106586 1 0
95 96249 48 0
96 444617 59 0
97 80903 53 0
98 84103 70 0
99 27096 5 0
100 1117697 8 0
101 976407 64 0
102 702421 30 0
103 13281 58 0
104 1104926 17 0
105 116412 36 0
106 1135481 60 0
107 1110408 58 0
108 1133606 45 0
109 1135095 8 0
110 1120920 32 0
111 230879 8 0
112 1116007 70 0
113 1141449 61 0
114 39890 9 0
115 774093 24 0
116 1136693 24 0
117 1153423 30 0
118 1132534 55 0
119 1138389 18 0
120 105899 9 0
121 357102 63 0
122 93468 44 0
123 121891 39 0
124 1118826 68 0
125 241544 46 0
126 256121 14 0
127 129946 15 0
128 1154355 18 0
129 1152545 11 0
130 336200 8 0
131 1131649 8 0
132 594511 7 0
133 380566 2 0
134 1105314 53 0
135 1153149 8 0
136 1103288 19 0
137 333241 13 0
138 813641 48 0
139 1104790 59 0
140 311756 18 0
141 111798 62 0
142 1138005 29 0
143 1104815 68 0
144 253217 33 0
145 86102 70 0
146 29395 53 0
147 139057 14 0
148 82088 10 0
149 509916 41 0
150 1135455 8 0
151 75972 11 0
152 628583 10 0
153 13499 54 0
154 344474 61 0
155 60560 8 0
156 226118 62 0
157 33982 53 0
158 50088 64 0
159 1154241 11 0
160 669934 35 0
161 481654 14 0
162 53895 68 0
163 1120962 8 0
164 1152929 17 0
165 35490 6 0
166 768125 46 0
167 130367 34 0
168 1140558 1 0
169 28674 12 0
170 1104028 68 0
171 101261 12 0
172 107 62 0
173 1131004 62 0
174 240848 41 0
175 313570 66 0
176 906 8 0
177 38922 56 0
178 1372 2 0
179 1130884 1 0
180 250076 4 0
181 1102785 46 0
182 46803 2 0
183 7008 59 0
184 295463 70 0
185 1137172 22 0
186 1105588 27 0
187 1130882 1 0
188 1152553 68 0
189 33231 9 0
190 1131445 15 0
191 150791 13 0
192 633711 35 0
193 1102751 12 0
194 1128430 6 0
195 57283 19 0
196 1119441 55 0
197 1153920 23 0
198 1120367 10 0
199 16401 27 0
200 148202 61 0
201 26752 69 0
202 696599 50 0
203 1129329 2 0
204 3441 60 0
205 1118994 24 0
206 1621 60 0
207 1113010 60 0
208 735569 19 0
209 582861 14 0
210 1135443 16 0
211 61384 17 0
212 195895 1 0
213 1122564 56 0
214 81257 60 0
215 289088 8 0
216 161244 60 0
217 1152908 64 0
218 19335 60 0
219 1107558 9 0
220 598006 56 0
221 130951 28 0
222 794742 55 0
223 755887 68 0
224 744896 18 0
225 1113995 8 0
226 1153080 62 0
227 6355 1 0
228 1106078 66 0
229 1134354 9 0
230 199084 64 0
231 703932 18 0
232 91481 61 0
233 697528 54 0
234 1153304 48 0
235 175508 40 0
236 1130646 18 0
237 1114871 70 0
238 1136465 61 0
239 20012 19 0
240 464733 62 0
241 784095 46 0
242 1152268 22 0
243 185386 56 0
244 1139461 65 0
245 1102761 6 0
246 1120118 61 0
247 1114265 36 0
248 86040 53 0
249 40033 62 0
250 130432 54 0
251 1105368 55 0
252 878457 54 0
253 108853 44 0
254 3240 12 0
255 9351 30 0
256 2439 1 0
257 18418 56 0
258 536381 14 0
259 237935 59 0
260 1153335 63 0
261 1109629 16 0
262 1130751 35 0
263 32400 48 0
264 77283 18 0
265 365824 61 0
266 23266 24 0
267 72168 58 0
268 1154819 63 0
269 4566 29 0
270 162519 53 0
271 1153107 4 0
272 108799 40 0
273 20920 9 0
274 24681 36 0
275 853114 8 0
276 479836 30 0
277 1103708 1 0
278 488835 39 0
279 1153283 55 0
280 321689 58 0
281 6808 58 0
282 377104 34 0
283 1120858 8 0
284 226073 47 0
285 322955 45 0
286 1106696 42 0
287 48644 65 0
288 37541 12 0
289 578633 14 0
290 78552 8 0
291 1123781 15 0
292 1105186 35 0
293 1154040 66 0
294 1139241 70 0
295 98478 18 0
296 67633 6 0
297 24503 58 0
298 1112029 19 0
299 188834 55 0
300 1133568 66 0
301 133696 32 0
302 22827 44 0
303 24046 53 0
304 1152726 60 0
305 648093 18 0
306 1152216 21 0
307 1105742 22 0
308 386562 67 0
309 1108041 60 0
310 760558 49 0
311 780186 70 0
312 1134264 58 0
313 1114531 64 0
314 1124263 46 0
315 1128511 14 0
316 619654 44 0
317 1120860 19 0
318 161319 48 0
319 1103397 18 0
320 392788 61 0
321 1117893 21 0
322 1140026 27 0
323 36558 60 0
324 9960 1 0
325 612310 43 0
326 61856 64 0
327 1110583 62 0
328 385572 8 0
329 93279 12 0
330 38791 44 0
331 263801 16 0
332 1139704 8 0
333 1154519 27 0
334 638936 63 0
335 144881 33 0
336 1140690 24 0
337 120754 31 0
338 2404 4 0
339 1152749 1 0
340 1109126 57 0
341 26027 60 0
342 1108691 19 0
343 116199 46 0
344 489045 19 0
345 17363 8 0
346 208476 23 0
347 72431 57 0
348 1123215 12 0
349 1111589 59 0
350 322217 41 0
351 7870 4 0
352 28367 4 0
353 155173 47 0
354 1108203 53 0
355 1154162 60 0
356 6125 12 0
357 1123220 30 0
358 108974 9 0
359 839490 44 0
360 1124969 46 0
361 1154848 17 0
362 1130680 8 0
363 1117570 15 0
364 104965 62 0
365 24381 19 0
366 1103960 45 0
367 40772 58 0
368 851709 16 0
369 150274 62 0
370 691298 24 0
371 75694 10 0
372 1263 50 0
373 1144442 48 0
374 13112 4 0
375 150111 13 0
376 1116376 46 0
377 125958 55 0
378 750462 24 0
379 1153396 67 0
380 29749 13 0
381 1117266 18 0
382 1128687 36 0
383 25702 8 0
384 321693 57 0
385 47570 6 0
386 26008 68 0
387 1126704 61 0
388 329071 63 0
389 186553 60 0
390 1154356 18 0
391 219858 23 0
392 91853 6 0
393 270414 60 0
394 54086 32 0
395 376501 28 0
396 239109 63 0
397 1136662 46 0
398 1128784 1 0
399 1153756 26 0
400 451998 18 0
401 1153142 62 0
402 1140028 48 0
403 431950 46 0
404 1153422 30 0
405 273170 7 0
406 82436 23 0
407 18655 67 0
408 231198 8 0
409 72056 8 0
410 1154790 68 0
411 1129610 7 0
412 387748 4 0
413 1130625 3 0
414 112498 48 0
415 1109026 10 0
416 1138277 58 0
417 1007001 57 0
418 1146388 35 0
419 40125 9 0
420 16373 35 0
421 46691 30 0
422 88376 18 0
423 1113409 17 0
424 579008 7 0
425 1135477 26 0
426 1131863 40 0
427 51560 70 0
428 3311 62 0
429 237711 70 0
430 764300 46 0
431 54760 66 0
432 1106172 10 0
433 1120867 54 0
434 23796 14 0
435 1129367 7 0
436 1109094 35 0
437 1109028 61 0
438 32987 54 0
439 182033 55 0
440 1118235 63 0
441 1107938 12 0
442 211938 22 0
443 194265 67 0
444 647447 7 0
445 1138582 24 0
446 669828 24 0
447 319671 1 0
448 137380 11 0
449 85450 12 0
450 1140745 55 0
